code,name,amount,job_id,contractor_id,account_id
KJ-S7JETR0,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-SK8EI2A,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-SMJHA3J,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-TFLNGU4,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-U82XASS,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-UG5UPQ0,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-V3QJKZA,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-VERKTBX,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-WILTIB6,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-WJNYN2I,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-WNOPCV6,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-YQIEKAL,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-ZCCKISH,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-ZZW9SSF,$10 off with minimum $50 purchase (Delivery Waived),10,
KJ-16BYKWI,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-2ZNGFKT,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-4BNNQHB,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-4PVWTOY,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-4Q0GP60,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-5JDEDZI,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-6GOGAGV,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-7LZULZM,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-7YIOUNL,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-8QCMMQG,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-A46BTKD,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-BCODKIN,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-BFZNIF4,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-C2ELZU9,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-CDWGE7Q,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-DFHKO1N,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-EBZC7RB,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-EGZ9GPI,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-F87PACA,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-FPCIL5H,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-GR4SDFD,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-GSHETQA,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-H3ZE3UR,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-HHQJM9J,$20 off with minimum $100 purchase (Delivery Waived),20,
KJ-I6GBXG2,$20 off with minimum $100 purchase (Delivery Waived),20,
